property_name,address,type,size,room_num,bathroom_num,price,precise_address,longitude,latitude
广泰楼,湾仔,单幢式大厦,245,1,1,"16,000",香港湾仔广泰楼,114.163825,22.276284
愉景湾 4期 - 蘅峰: 蘅安径 庭安阁,愉景湾,公寓,545,1,1,"16,000",香港愉景湾愉景湾 4期 - 蘅峰: 蘅安径 庭安阁,114.027788,22.292031
万发大楼,坚尼地城,单幢式大厦,405,2,1,"15,000",香港坚尼地城万发大楼,114.163825,22.276284
沙田第一城,沙田,屋苑,304,2,1,"13,200",香港沙田沙田第一城,114.207932,22.384895
嘉华星涛湾,马鞍山,屋苑,466,2,1,"16,000",香港马鞍山嘉华星涛湾,114.163825,22.276284
珀丽湾,马湾,屋苑,490,2,1,"13,500",香港马湾珀丽湾,114.06682,22.351346
翡翠阁,坚尼地城,单幢式大厦,313,1,1,"13,500",香港坚尼地城翡翠阁,114.135033,22.28124
沙田第一城,沙田,屋苑,284,2,1,"12,500",香港沙田沙田第一城,114.207932,22.384895
联安新楼,坚尼地城,屋苑,415,2,1,"14,800",香港坚尼地城联安新楼,114.163825,22.276284
嘉輝花园,坚尼地城,屋苑,265,1,1,"15,000",香港坚尼地城嘉輝花园,114.163825,22.276284
翡翠阁,坚尼地城,单幢式大厦,313,1,1,"13,500",香港坚尼地城翡翠阁,114.135033,22.28124
峻滢,将军澳/坑口,屋苑,499,2,1,"15,500",香港将军澳/坑口峻滢,114.273724,22.314015
愉景湾 6期 - 愉景广场,愉景湾,公寓,464,1,1,"15,000",香港愉景湾愉景湾 6期 - 愉景广场,114.021595,22.292933
西貢村屋,西貢,村屋,600,1,1,"14,500",香港西貢西貢村屋,114.163825,22.276284
南方大厦,炮台山,单幢式大厦,374,2,1,"13,800",香港炮台山南方大厦,114.249442,22.291972
西貢村屋,西貢,村屋,700,3,1,"15,000",香港西貢西貢村屋,114.163825,22.276284
上水名都,上水,屋苑,369,2,1,"12,000",香港上水上水名都,114.163825,22.276284
愉景湾13期 - 尚堤 3座 漪芦,愉景湾,单幢式大厦,522,1,1,"14,000",香港愉景湾愉景湾13期 - 尚堤 3座 漪芦,114.027788,22.292031
牽晴間 2座,粉岭,屋苑,384,2,1,"11,800",香港粉岭牽晴間 2座,114.148568,22.484217
广泰楼,湾仔,单幢式大厦,245,1,1,"16,000",香港湾仔广泰楼,114.163825,22.276284
愉景湾 4期 - 蘅峰: 蘅安径 庭安阁,愉景湾,公寓,545,1,1,"16,000",香港愉景湾愉景湾 4期 - 蘅峰: 蘅安径 庭安阁,114.027788,22.292031
万发大楼,坚尼地城,单幢式大厦,405,2,1,"15,000",香港坚尼地城万发大楼,114.163825,22.276284
沙田第一城,沙田,屋苑,304,2,1,"13,200",香港沙田沙田第一城,114.207932,22.384895
嘉华星涛湾,马鞍山,屋苑,466,2,1,"16,000",香港马鞍山嘉华星涛湾,114.163825,22.276284
珀丽湾,马湾,屋苑,490,2,1,"13,500",香港马湾珀丽湾,114.06682,22.351346
翡翠阁,坚尼地城,单幢式大厦,313,1,1,"13,500",香港坚尼地城翡翠阁,114.135033,22.28124
沙田第一城,沙田,屋苑,284,2,1,"12,500",香港沙田沙田第一城,114.207932,22.384895
联安新楼,坚尼地城,屋苑,415,2,1,"14,800",香港坚尼地城联安新楼,114.163825,22.276284
嘉輝花园,坚尼地城,屋苑,265,1,1,"15,000",香港坚尼地城嘉輝花园,114.163825,22.276284
翡翠阁,坚尼地城,单幢式大厦,313,1,1,"13,500",香港坚尼地城翡翠阁,114.135033,22.28124
峻滢,将军澳/坑口,屋苑,499,2,1,"15,500",香港将军澳/坑口峻滢,114.273724,22.314015
愉景湾 6期 - 愉景广场,愉景湾,公寓,464,1,1,"15,000",香港愉景湾愉景湾 6期 - 愉景广场,114.021595,22.292933
西貢村屋,西貢,村屋,600,1,1,"14,500",香港西貢西貢村屋,114.163825,22.276284
南方大厦,炮台山,单幢式大厦,374,2,1,"13,800",香港炮台山南方大厦,114.249442,22.291972
西貢村屋,西貢,村屋,700,3,1,"15,000",香港西貢西貢村屋,114.163825,22.276284
上水名都,上水,屋苑,369,2,1,"12,000",香港上水上水名都,114.163825,22.276284
愉景湾13期 - 尚堤 3座 漪芦,愉景湾,单幢式大厦,522,1,1,"14,000",香港愉景湾愉景湾13期 - 尚堤 3座 漪芦,114.027788,22.292031
牽晴間 2座,粉岭,屋苑,384,2,1,"11,800",香港粉岭牽晴間 2座,114.148568,22.484217
荷李活道 (大厦单位),中上环,公寓,341,1,1,"15,000",香港中上环荷李活道 (大厦单位),114.153447,22.282856
宝泰大厦,中上环,单幢式大厦,357,2,1,"16,000",香港中上环宝泰大厦,114.163825,22.276284
新港城 4期,马鞍山,屋苑,363,1,1,"13,500",香港马鞍山新港城 4期,114.237079,22.419181
源发大厦,旺角,单幢式大厦,501,3,1,"14,800",香港旺角源发大厦,114.163825,22.276284
海傍大厦,鰂魚涌,单幢式大厦,421,2,1,"12,300",香港鰂魚涌海傍大厦,114.207558,22.291498
西贡苑,西貢,屋苑,299,1,1,"11,500",香港西貢西贡苑,114.163825,22.276284
太平花园,何文田,单幢式大厦,302,1,1,"12,800",香港何文田太平花园,114.163825,22.276284
景明苑,将军澳/坑口,屋苑,554,2,1,"15,000",香港将军澳/坑口景明苑,114.254644,22.320546
愉景湾 3期 康慧台: 康颐阁,愉景湾,屋苑,591,2,1,"16,000",香港愉景湾愉景湾 3期 康慧台: 康颐阁,114.027788,22.292031
愉景湾12期 - 海澄湖畔二段,愉景湾,洋房/独立屋,451,1,1,"15,000",香港愉景湾愉景湾12期 - 海澄湖畔二段,114.027788,22.292031
五洲大厦,炮台山,单幢式大厦,401,1,1,"15,000",香港炮台山五洲大厦,114.249442,22.291972
翠豐台,荃湾,屋苑,424,2,1,"15,500",香港荃湾翠豐台,114.11088,22.37315
珀丽湾,马湾,屋苑,505,2,1,"13,000",香港马湾珀丽湾,114.06682,22.351346
晟林,九龙塘,单幢式大厦,306,1,1,"16,000",香港九龙塘晟林,114.163825,22.276284
裕丰花园,西营盘,单幢式大厦,242,1,1,"14,500",香港西营盘裕丰花园,114.144729,22.283989
西貢村屋,西貢,村屋,700,3,2,"16,000",香港西貢西貢村屋,114.163825,22.276284
